text,fontname
LOVE,Source Sans Pro Black.jpg
SUMMER SHADERS,Source Sans Pro Black.jpg
You’ve got this!,League Gothic Italic.jpg
ORDER HERE,GoodDog New Regular.jpg
Sign up Today,Lobster Regular.jpg
future CEO,PT Mono Regular.jpg
BALANCED LIFE,Bebas Neue Regular.jpg
it’s your Birthday,True North Inline Regular.jpg
"Hey, let’s go to the beach",Source Sans Pro Black.jpg
swipe up,Bebas Neue Regular.jpg
home office,Amatic SC Regular.jpg
Donate here,PT Mono Regular.jpg
New post,Source Sans Pro Black.jpg
SHOP NOW!,SirinStencil Regular.jpg
have an amazing day!,Permanent Marker.jpg
Well Done,Lobster Regular.jpg
Use less plastic,Amatic SC Regular.jpg
RISE GRIND,Oswald.jpg
NEW POST,Reross Rectangular.jpg
TREAT YO SELF!,League Gothic Italic.jpg
Good Luck,Cooper Std Black.jpg
Comment,Harman Sans Regular.jpg
Like,Harman Sans Regular.jpg
Subscribe,Harman Sans Regular.jpg
followers!,Brush Script Std Medium.jpg
Do something nice,GoodDog New Regular.jpg
Have a Groovy Day,GoodDog New Regular.jpg
CUTE,Poplar Std Black.jpg
Be kind to each other,Sail Regular.jpg
I LOVE ART,Gloria Hallelujah.jpg
NOPE,Cooper Std Black.jpg
Be kind to your mind,Nexa Rust Slab Black.jpg
Growth is the goal ,Nunito Regular.jpg
let’s learn!,Wanderlust Shine Regular.jpg
Learn Play Grow,Pacific Northwest Rough Regular.jpg
ASPEN—COLORADO,Playfair Display.jpg
Thank you,Graduate Regular.jpg
FORCE OF NATURE,Source Sans Pro Black.jpg
CONTACT US,Bebas Neue Regular.jpg
Oh yeah! Sign up is Free,Bellfort Regular.jpg
THAT’S MY BEST FRIEND!,Lato Bold.jpg
Feeling Stylish,Wanderlust Shine Regular.jpg
Career Advice For Beginners,PT Mono Regular.jpg
Season’s Greetings,Wanderlust Shine Regular.jpg
THE SEASON of JOY,Playfair Display.jpg
Merry & Bright,Nexa Rust Slab Black.jpg
happy hanukkah,Wanderlust Shine Regular.jpg
HOLIDAYS,Bellfort Regular.jpg
SEASON Sale,Source Sans Pro Black.jpg
JUNETEENTH,Poplar Std Black.jpg
I love you!,Pacific Northwest Rough Regular.jpg
HAPPY DIWALI,Abril Fatface.jpg
Shana Tova,Pacifico Regular.jpg
WE WISH YOU A VERY MERRY CHRISTMAS,Raleway Regular.jpg
HAPPY HOLIDAYS,Bellfort Thin.jpg
Eid Al-Fitr Mubarak,Harman Sans Regular.jpg
happy Diwali,Wanderlust Shine Regular.jpg
Festival of Lights,Lato Black Italic.jpg
HAPPY DIWALI ✦ HAPPY DIWALI ✦ HAPPY DIWALI ✦,Lato Black Italic.jpg
FELIZ NAVIDAD!,True North Inline Regular.jpg
Have a Blessed Eid!,Lobster Regular.jpg
Easter,Lobster Regular.jpg
Happy Mother’s Day,Josefin Slab Regular.jpg
